stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1008O00017C0,,Pinto de Azevedo,,-22.912297,-43.20442,,,0,,,,
1008O00038C0,,Marquês de Sapucaí,,-22.90861,-43.19795,,,0,,,,
1009O00007C0,,Emilia Guimarães,,-22.91597,-43.19651,,,0,,,,
1009O00006S9,JVTF,"BRS 1,2,4,6: Paulo de Frontin",,-22.91547,-43.20947,,,0,,,,
1007O00052C0,,Batista das Neves,,-22.91777,-43.21018,,,0,,,,
1009O00005S9,2B63,"BRS 1,2,4,I: Viscondessa de Piracinunga",,-22.91401,-43.20054,,,0,,,,
1008O00021S9,SHJP,"BRS 1,2,4,I: Reverendo Álvaro Reis",,-22.91288,-43.20215,,,0,,,,
1007O00051C0,,Batista das Neves,,-22.91797,-43.20987,,,0,,,,
fc04,,Arroio Fundo,,-22.958153,-43.35838,,,0,,,,
1007O00049C0,,Barão de Itapagipe,,-22.91943,-43.20979,,,0,,,,
1007O00068C0,,Antônio Pedro Galiazzi,,-22.920919,-43.209982,,,0,,,,
1007O00043C0,,Japeri,,-22.92261,-43.21113,,,0,,,,
1007O00042C0,,Cândido de Oliveira,,-22.926,-43.20846,,,0,,,,
1007O00060C0,,Estrela,,-22.92582,-43.20942,,,0,,,,
1007O00070C0,,Bispo,,-22.92588,-43.20972,,,0,,,,
1007O00056C0,,Hospital Central do Corpo de Bombeiros,,-22.93156,-43.20922,,,0,,,,
1007O00055C0,,Condomínio do Edifício Chácara Rio,,-22.92968,-43.20926,,,0,,,,
2036O00061C0,,Praça Varnhagen,,-22.92032,-43.2353,,,0,,,,
1007O00058C0,,Condomínio do Edifício Chácara Rio,,-22.92961,-43.20896,,,0,,,,
1007O00059C0,,Unicarioca,,-22.92773,-43.2093,,,0,,,,
1007O00054C0,,Unicarioca,,-22.92744,-43.20962,,,0,,,,
1007O00071C0,,Ponto Final: Rio Comprido :: Praça Condessa Paulo de Frontin (Linha 711),,-22.92438,-43.2088,,,0,,,,
1007O00044C0,,Ponto Final: Rio Comprido :: Sampaio Viana,,-22.92371,-43.21231,,,0,,,,
1010O00034C0,,Ceará,,-22.90757,-43.21843,,,0,,,,
1008O00034C0,,Santa Maria,,-22.91143,-43.19956,,,0,,,,
1007O00066C0,,Sampaio Viana,,-22.922492,-43.209598,,,0,,,,
1007O00037C0,,"Santa Alexandrina, 565",,-22.929656,-43.208505,,,0,,,,
1008O00042C0,CMN0,Metrô Estácio,,-22.91267,-43.20611,,,0,,,,
1008O00035C0,,Frei Caneca,,-22.91376,-43.19951,,,0,,,,
1008O00018S0,ZJ6W,"BRS 1,2,3: Praça Onze",,-22.90818,-43.19931,,,0,,,,
1007O00073C0,,Dom Joaquim Mamede,,-22.938429,-43.207107,,,0,,,,
1007O00046C0,,Ponto Final: Santa Alexandrina :: 201,,-22.934843,-43.209949,,,0,,,,
1008O00023S0,W6SL,"BRS 4,5: Praça Onze",,-22.907601,-43.19944,,,0,,,,
1008O00024S0,WAMS,"BRS 1,2,3: Praça Onze",,-22.908045,-43.200742,,,0,,,,
1008O00025S0,WKFC,"BRS 4,5: Cidade Nova",,-22.909634,-43.205798,,,0,,,,
1008O00006S0,WWP8,"BRS 1,2,3: Cidade Nova",,-22.909737,-43.206137,,,0,,,,
1008O00026S0,2DLW,"BRS 3,5: Praça Onze",,-22.9075,-43.19952,,,0,,,,
1008O00001S0,2DP2,BRS 4: Praça Onze,,-22.90769,-43.20011,,,0,,,,
1008O00027S0,2DT8,"BRS 1,2,3: Praça Onze",,-22.90794,-43.20089,,,0,,,,
1008O00002S0,2E2W,"BRS 2,4: Cidade Nova",,-22.909508,-43.205978,,,0,,,,
1008O00030S0,2E6G,"BRS 1,3,5: Cidade Nova",,-22.909665,-43.206426,,,0,,,,
1008O00005S0,X3XI,"BRS 4,5: Praça Onze",,-22.908619,-43.201048,,,0,,,,
1008O00007S0,X6AG,"BRS 1,2,3: Praça Onze",,-22.907874,-43.19875,,,0,,,,
1008O00003S2,2K5Z,"BRS 1,3,5: Cidade Nova",,-22.910283,-43.205532,,,0,,,,
1008O00017S0,MN1E,"BRS 2,4: Cidade Nova",,-22.910168,-43.205172,,,0,,,,
1008O00004S0,MUGZ,"BRS 4,5: Praça Onze",,-22.90786,-43.19828,,,0,,,,
1008O00036C0,,Visconde de Duprat,,-22.910322,-43.203595,,,0,,,,
1010O00021C0,,INTO,,-22.89479,-43.21542,,,0,,,,
1008O00033C0,,Metrô Praça Onze,,-22.909741,-43.2002,,,0,,,,
1010O00037C0,,Igrejinha,,-22.896379,-43.213767,,,0,,,,
1010O00043C0,,Vieira Bueno,,-22.89402,-43.2287,,,0,,,,
1010O00065C0,,Eduardo Prado,,-22.90694,-43.21579,,,0,,,,
1010O00070C9,,Largo da Cancela,,-22.90052,-43.22503,,,0,,,,
1010O00075C0,,Fonseca Teles,,-22.9025,-43.21814,,,0,,,,
1010O00100C0,,Praça Virgilio de Melo Franco,,-22.904526,-43.219472,,,0,,,,
1010O00049C0,,Benedito Otoni,,-22.89692,-43.21672,,,0,,,,
1009O00016C0,,Joaquim Palhares,,-22.913358,-43.20975,,,0,,,,
1010O00047C0,,Monsenhor Manuel Gomes,,-22.8904,-43.21891,,,0,,,,
1010O00079C0,,Figueira de Melo,,-22.90411,-43.21611,,,0,,,,
1010O00080C0,,Gotemburgo,,-22.90341,-43.21449,,,0,,,,
1010O00082C0,,Melo e Souza,,-22.90233,-43.2125,,,0,,,,
1010O00081C0,,Francisco Bicalho,,-22.902025,-43.210979,,,0,,,,
1010O00020C0,,Francisco Eugênio,,-22.90617,-43.21025,,,0,,,,
1010O00046C0,,Parque,,-22.90403,-43.22267,,,0,,,,
1010O00092C0,,Chantecler,,-22.90001,-43.234537,,,0,,,,
1010O00066C0,,Desembargador Frederico Sussekind,,-22.900648,-43.232294,,,0,,,,
1010O00112C9,,Avenida do Exército :: Sentido Centro,,-22.9003,-43.223247,,,0,,,,
1010O00137C0,,Avenida do Exército :: Sentido Tijuca,,-22.900754,-43.22366,,,0,,,,
1010O00064C9,,Desembargador Frederico Sussekind,,-22.90045,-43.23258,,,0,,,,
1010O00067C9,,São Luiz Gonzaga,,-22.90022,-43.23003,,,0,,,,
1007O00053C0,,Condessa Paulo de Frontin,,-22.92396,-43.20983,,,0,,,,
1007O00061C0,,Condessa Paulo de Frontin,,-22.924,-43.20952,,,0,,,,
1010O00105C0,,Quinta D'Or,,-22.90735,-43.221704,,,0,,,,
1010O00136C0,,Liberdade,,-22.898891,-43.227726,,,0,,,,
1010O00061C0,,Chaves Faria,,-22.899862,-43.226297,,,0,,,,
1010O00059C9,,Pedro Lobianco,,-22.90004,-43.22381,,,0,,,,
1010O00109C0,,Santos Lima,,-22.897982,-43.217549,,,0,,,,
1010O00058C0,,Escobar,,-22.89796,-43.21823,,,0,,,,
1010O00086C0,,Vinte e Cinco de Março,,-22.89585,-43.21893,,,0,,,,
1010O00107C0,,Praça Virgilio de Melo Franco,,-22.904907,-43.218901,,,0,,,,
1009O00010S9,SYXG,"BRS 1,2,4: Largo do Estácio",,-22.914138,-43.205656,,,0,,,,
1010O00083C0,,Figueira de Melo,,-22.90383,-43.21625,,,0,,,,
1010O00096C0,,Estádio Figueira de Melo,,-22.90518,-43.214246,,,0,,,,
1009O00009S9,2AEX,"BRS 1,2,4,5,6,I: Sampaio Ferraz",,-22.91564,-43.20808,,,0,,,,
1010O00084C0,,Zeferino de Oliveira,,-22.8993,-43.21664,,,0,,,,
1012O00027C0,,Hospital Central do Exército,,-22.89495,-43.24279,,,0,,,,
1014O00001C0,,Igreja Nossa Senhora das Neves,,-22.9162,-43.19175,,,0,,,,
1014O00015C0,,Escadinhas de Santa Tereza,,-22.91671,-43.18192,,,0,,,,
1010O00055C0,,Campo de São Cristóvão,,-22.899433,-43.222963,,,0,,,,
1014O00010C0,,Riachuelo,,-22.91427,-43.18182,,,0,,,,
1014O00004C0,,Áurea,,-22.92057,-43.18968,,,0,,,,
1014O00002C0,,Costa Bastos,,-22.91698,-43.19062,,,0,,,,
1014O00006C0,,"Joaquim Murtinho, 769",,-22.91722,-43.18449,,,0,,,,
1014O00017C0,,"Joaquim Murtinho, 654",,-22.91604,-43.18427,,,0,,,,
1014O00007C0,,"Joaquim Murtinho, 641",,-22.91611,-43.18416,,,0,,,,
1014O00016C0,,"Joaquim Murtinho, 514",,-22.916233,-43.182977,,,0,,,,
1010O00077C0,,Praça Professora Alice Brasil,,-22.90931,-43.22631,,,0,,,,
1010O00071C0,,São Cristóvão,,-22.90061,-43.21746,,,0,,,,
1012O00046C0,,São Luiz Gonzaga,,-22.897954,-43.237343,,,0,,,,
1010O00103C0,,Estação São Cristóvão :: Norte,,-22.909238,-43.222916,,,0,,,,
1012O00040C0,,Dom Hélder Câmara,,-22.88891,-43.244451,,,0,,,,
1012O00047C0,,Senador Domício Barreto,,-22.89102,-43.23681,,,0,,,,
1012O00048C0,,Praça Padre Souza,,-22.8894,-43.23482,,,0,,,,
1010O00050C0,,Brasil,,-22.89578,-43.21521,,,0,,,,
1012O00024C0,,Capitão Félix,,-22.89059,-43.23455,,,0,,,,
1010O00054C0,,Centro de Tradições Nordestinas - Acesso Padre Cícero,,-22.89716,-43.22196,,,0,,,,
