route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
O0362AAA0A,a513ca5f-8969-4e42-b606-6c6d8cc16dfb,U_REG,Castelo,362,0,aroe
O0362AAR0A,f6ab75ce-8fd8-4e7e-a261-83fea94e873b,U_REG,Castelo,SR362,0,923i
O0363AAA0A,b8c1b3bb-0a48-43fa-8d22-ee822f577524,U_REG,Candelária,363,0,wf1d
O0363AAN0A,841ffdf1-70cb-4155-8530-f833c3e1e57f,U_REG,Candelária,SN363,0,7a69
O0363AAV0A,252cd54f-b23d-4d0c-9a87-f1bba5cdffd9,U_REG,Candelária,SV363,0,i58u
O0368AAA0A,300e3b12-c1c9-4971-93c7-8bea7b0f4d8d,U_REG,Riocentro,368,1,4laz
O0368AAN0A,9a09da4a-af7c-4c4b-9e05-16fd5598e855,U_REG,Candelária,SN368,0,rfpb
O0369AAA0A,b43c0b48-1c11-4e14-809e-81da8642fe81,U_REG,Bangu,369,1,O0369AAA0AVDU01
O0371AAA0A,3a7cccf1-c530-4e13-9bd0-f8817d8e49ae,U_REG,Praça Seca,371,1,qyd7
O0378AAA0A,986e1f33-b267-4dc1-8358-07603fe57f8c,U_REG,Castelo,378,0,n76x
O0378AAR0A,fbe5d96a-1ebd-496f-90a5-bdc36d9d0810,U_REG,Castelo,SR378,0,O0378AAR0AIDU01
O0380AAA0A,b0fc8e51-1b55-498e-b045-3103d9edd439,U_REG,Curicica,380,1,35bu
O0383AAA0A,10a533be-a8e6-4d2f-a969-a7cf226343cd,U_REG,Praça da República,383,0,82cc8479-53d1-4b34-8ffb-f1bd5478bc28
O0383AAN0A,da78cc2c-80e5-43f1-86d6-53292083d0be,U_REG,Praça da República,SN383,0,f112
O0384AAA0A,dc4b6b9f-6e9e-4f71-aaee-1230d0abc1bd,U_REG,Passeio,384,0,oyun
O0384AAR0A,3fee1cec-4773-4c87-aec0-787efab70721,U_REG,Passeio,SR384,0,ch59
O0384AAV0A,bd283377-a69f-4ddc-bfe5-ddb6a0981a93,U_REG,Passeio,SV384,0,r6y4
O0385AAA0A,9c141622-82c0-47f3-9679-1d39dd506ac9,U_REG,Passeio,385,0,itq7
O0386AAA0A,1dc9358b-9da6-4c13-89b6-0c453c6be5c9,U_REG,Candelária,386,0,bemk
O0386AAR0A,c27c99a9-ff73-4a60-8845-0538366b3a65,U_REG,Candelária,SR386,0,qd4x
O0388AAA0A,cd393136-fef3-4ec5-9762-87a228cfcf04,U_REG,Candelária,388,0,47f1
O0388AAN0A,f51ce093-408e-4c05-b0f7-fad5df285413,U_REG,Cesarão,SN388,1,95vp
O0388AAR0A,0e994989-4313-4166-be42-cfa05f3c2ab6,U_REG,Cesarão,SR388,1,zjbd
O0389AAP0A,4f23be63-929d-4906-a825-f885f86a7876,U_REG,Terminal Deodoro,SP389,0,omtw
O0390AAA0A,b49c265e-82ae-4ac4-8605-6c38cafe0a83,U_REG,Candelária,390,0,5au5
O0391AAV0A,e97226fb-0e7d-4e39-b73f-cc198876e71a,U_REG,Praça da República,SV391,0,kqcd
O0393AAA0A,b66ebb1b-ced0-492a-b763-a43a0a28332f,U_REG,Bangu,393,1,f72t
O0393AAN0A,0550eac8-c450-4713-bfb1-e8db968964fb,U_REG,Candelária,SN393,0,uth8
O0393AAR0A,8a1dbe10-03be-45b6-9b71-924e843e6edb,U_REG,Candelária,SR393,0,O0393AAR0AIDU01
O0397AAA0A,3fda6cba-c007-4427-9e6f-6d691b7936f2,U_REG,Terminal Campo Grande,397,1,cjd2
O0397AAN0A,75485a5f-15ff-4ec1-8034-27ef9ccea74e,U_REG,Candelária,SN397,0,j4qx
O0397AAR0A,4603ffec-d661-4baf-850c-1d44245981cc,U_REG,Candelária,SR397,0,nq9r
O0399AAA0A,2f836af6-fb5e-4132-9413-591cffa241be,U_REG,Passeio,399,0,5fzx
O0399AAN0A,c90ae521-371d-45d6-a634-be4714505c4a,U_REG,Pavuna,SN399,1,o19c
O0399AAR0A,c35b1bf3-20e6-49e4-8261-a6b58b9adc48,U_REG,Pavuna,SR399,1,v25v
O0404AAP0A,9bd447ae-739e-4301-8b3f-467e5a43813e,U_REG,Leblon,SP404,0,ylca
O0409AAA0A,f448e4ce-7a39-4736-bff2-89ae8cba8b25,U_REG,Saens Peña,409,1,wrbl
O0410AAA0A,2745fad8-033c-42d4-83d3-6ed7d2fe0c5a,U_REG,Saens Peña,410,1,ld39
