id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
34723,"Estr. do Camboatá - Costa Barros, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,,-22.8265321000,-43.3725279000,"28/03/2020, 10:00:00",true,true,PM,Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34720,"Morro da Tirol - Freguesia de Jacarepaguá, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,FREGUESIA (JACAREPAGUA),,FAVELA DA TIROL,-22.9390100000,-43.3310215000,"28/03/2020, 10:30:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34719,"Morro dos Macacos - Sampaio, Rio de Janeiro - RJ, 20560, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SAMPAIO,,MORRO DOS MACACOS,-22.9100000000,-43.2575000000,"28/03/2020, 11:16:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34721,"Gogó da Ema - Guadalupe, Rio de Janeiro - RJ, 21665-109, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GUADALUPE,,GOGO DA EMA (COMPLEXO DO CHAPADAO),-22.8325510000,-43.3804110000,"28/03/2020, 11:18:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34717,"Jardim Novo - Realengo, Rio de Janeiro - RJ, 21760-240, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,REALENGO,,,-22.8923941000,-43.4177244000,"28/03/2020, 11:42:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34725,"Jardim Bom Retiro, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,BOM RETIRO,,,-22.7967273000,-42.9605491000,"28/03/2020, 12:40:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34718,"Jardim Novo - Realengo, Rio de Janeiro - RJ, 21760-240, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,REALENGO,,,-22.8923941000,-43.4177244000,"28/03/2020, 13:19:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34722,"Pedra, Vila kennedy, Rio de Janeiro - RJ, 21850-430, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8581095000,-43.4875308000,"28/03/2020, 13:57:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34740,"R. Nair - Vila Tiradentes, São João de Meriti - RJ, 25530-373, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,VILA TIRADENTES,,,-22.7964910000,-43.3893771000,"28/03/2020, 14:00:00",false,false,,Homicidio/Tentativa,,Presença de político,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34727,"São Gonçalo, RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,NI,,,-22.8272883000,-43.0637646000,"28/03/2020, 14:21:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34726,"Morro do Dendê, Ilha Do Governador, Rio de Janeiro - RJ, 21921-415, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JARDIM CARIOCA,,MORRO DO DENDE,-22.8018299000,-43.1909843000,"28/03/2020, 14:56:00",true,true,PM,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34728,"Favela da Malvina, São João de Meriti - RJ, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,VENDA VELHA,,FAVELA DA MALVINA,-22.7855280000,-43.3611660000,"28/03/2020, 15:14:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34729,"Morro do Dende - Jardim Carioca, Rio de Janeiro - RJ, 21921-325, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JARDIM CARIOCA,,MORRO DO DENDE,-22.8016667000,-43.1902778000,"28/03/2020, 15:57:00",true,true,PM,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
